id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,anio_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_max,fecha_demanda_max,promedio_horas,municipio_original
27,chocó,27025,alto baudó,27025035,puerto alegre(alto baudo - chocó),2025,5,1232,403,5.12,lunes,2025-05-26 10:30:00,9.4919,alto baudo
27,chocó,27025,alto baudó,27025920,el morro(alto baudo - chocó),2025,5,396,122,3.72,lunes,2025-05-05 19:45:00,4.8226,alto baudo
27,chocó,27025,alto baudó,27025937,villa cecilia(alto baudo - chocó),2025,5,399,150,3.85,jueves,2025-05-01 10:30:00,2.4597,alto baudo
27,chocó,27075,bahía solano,27075000,ciudad mutis(bahía solano - chocó),2025,5,921307,252833,1683.44,miércoles,2025-05-21 19:30:00,23.2581,bahía solano
27,chocó,27075,bahía solano,27075001,cupica(bahía solano - chocó),2025,5,73140,21741,152.48,sábado,2025-05-17 19:30:00,23.5403,bahía solano
27,chocó,27075,bahía solano,27075002,el valle(bahía solano - chocó),2025,5,192894,60702,458.7,domingo,2025-05-04 20:00:00,23.7419,bahía solano
27,chocó,27077,bajo baudó,27077000,pizarro(bajo baudó - chocó),2025,5,210122,72479,463.58,jueves,2025-05-29 11:45:00,18.0887,bajo baudó
27,chocó,27077,bajo baudó,27077002,belen de docampado(bajo baudó - chocó),2025,5,8975,2100,38.68,sábado,2025-05-24 11:45:00,10.379,bajo baudó
27,chocó,27077,bajo baudó,27077008,orpua(bajo baudó - chocó),2025,5,380,473,4.14,jueves,2025-05-22 18:15:00,3.3145,bajo baudó
27,chocó,27077,bajo baudó,27077011,piliza - bellavista - villa luz(bajo baudó - chocó),2025,5,2829,560,25.6,jueves,2025-05-01 19:15:00,4.5323,bajo baudó
27,chocó,27077,bajo baudó,27077019,virudo(bajo baudó - chocó),2025,5,5268,2486,35.6,viernes,2025-05-23 19:00:00,7.0161,bajo baudó
27,chocó,27077,bajo baudó,27077026,guineal(bajo baudó - chocó),2025,5,2472,2542,29.61,sábado,2025-05-31 19:00:00,4.9839,bajo baudó
27,chocó,27077,bajo baudó,27077029,firme de usarga(bajo baudó - chocó),2025,5,158,152,5.08,viernes,2025-05-09 18:45:00,1.2177,bajo baudó
27,chocó,27077,bajo baudó,27077905,buenavista(bajo baudó - chocó),2025,5,4042,1594,19.3,lunes,2025-05-26 19:45:00,8.7258,bajo baudó
